rock area,rock peri
4990,2791.9
7002,3892.6
7558,3930.66
7352,3869.32
7943,3948.54
7979,4010.15
9333,4345.75
8209,4344.75
8393,3682.04
6425,3098.65
9364,4480.05
8624,3986.24
10651,4036.54
8868,3518.04
9417,3999.37
8874,3629.07
10962,4608.66
10743,4787.62
11878,4864.22
9867,4479.41
7838,3428.74
11876,4353.14
8233,3518.44
6360,1977.39
4193,1379.35
7416,1916.24
5246,1585.42
6509,1851.21
4895,1239.66
6775,1728.14
7894,1461.06
5980,1426.76
5318,990.388
7392,1350.76
7894,1461.06
3469,1376.7
1468,476.322
3524,1189.46
5267,1644.96
5048,941.543
1016,308.642
5605,1145.69
8793,2280.49
3475,1174.11
1651,597.808
5514,1455.88
9718,1485.58
