Horsepower,Weight
190,3850
90,2648
97,2774
150,3433
225,3086
165,3693
130,3504
220,4354
150,3761
200,4376
170,3563
210,4382
215,4615
198,4341
85,2587
140,3449
193,4732
160,3609
95,2833
215,4312
150,3436
225,4425
90,2430
113,2234
87,2672
95,2375
46,1835
88,2130
95,2372
100,2634
110,2962
100,3288
100,3329
165,4209
72,2408
90,2264
180,4955
170,4746
153,4154
88,3139
88,3302
86,2220
70,1955
150,4096
105,3439
175,4464
100,3282
175,5140
76,2065
90,2123
70,2074
60,1834
69,1613
88,2130
65,1773
95,2228
150,3672
150,3892
155,4502
130,4098
165,4274
90,2408
190,4422
80,2164
80,2126
153,4129
140,4294
86,2395
86,2226
208,4633
160,4456
150,4135
150,4077
175,4385
87,2979
69,2189
76,2511
54,2254
112,2933
92,2288
97,2330
88,2100
95,2278
97,2506
175,3821
100,2789
100,2945
150,3672
175,4100
225,4951
150,4464
150,4997
145,3988
145,4082
100,3278
72,2401
215,4735
150,3777
150,3399
167,4906
137,4042
158,4363
88,3021
85,2310
107,2472
198,4952
180,3664
180,4499
170,4654
95,2904
150,4237
105,3121
230,4278
91,2582
90,2265
49,1867
75,2158
110,2660
46,1950
112,2868
94,2379
90,2124
88,2279
122,2807
100,2901
110,3632
150,4257
150,4699
100,3781
100,3336
75,2542
75,2125
150,4457
140,4141
140,4638
80,2451
95,3102
105,3613
83,2219
75,2246
75,2108
67,2000
78,2300
67,1963
61,2003
67,1950
97,2489
93,2391
65,1836
52,1649
100,2914
110,3730
90,3211
110,3907
110,3039
105,3897
145,4440
110,3221
105,3459
148,4657
72,3158
129,3169
83,2639
97,2984
72,3432
95,3785
150,4498
95,3264
78,2592
170,4668
95,2694
88,2957
115,2671
71,2223
70,1937
98,2945
97,2545
53,1795
75,2171
96,2702
90,3085
120,3962
95,3193
180,4380
92,2572
140,4215
52,2035
105,3353
60,2164
145,4055
100,3651
79,2255
150,4190
150,3755
130,3870
152,4215
78,3574
81,3012
72,2565
100,3233
150,3940
110,3645
86,2464
120,3820
81,2220
88,3270
83,2202
71,1825
102,3150
70,1937
70,1990
53,1795
75,2155
108,2930
80,2155
105,3425
145,3880
63,2051
110,3520
170,4165
190,4325
83,2075
145,4140
98,3525
89,2755
149,4335
130,4295
110,4060
96,2300
100,3630
180,4220
88,2740
110,2600
58,1825
78,2190
78,1940
97,2815
70,1945
68,2045
110,2720
67,1985
75,2265
90,3210
120,3410
105,3380
165,3445
68,2155
95,3155
145,3425
110,3620
140,3735
140,4080
75,2230
85,2965
88,2720
66,1800
139,3205
139,3570
85,3070
110,3365
85,2855
105,2745
100,3430
105,3535
103,2830
133,3410
115,2795
48,1985
71,1990
125,3140
97,2405
97,2300
70,2070
68,2135
60,1800
52,1985
95,2515
95,2560
90,3265
80,2670
155,4360
90,2670
125,3900
130,3840
115,2595
125,3605
150,3940
110,3360
80,1915
135,3830
142,4054
88,2890
129,3725
138,3955
85,2990
90,3420
115,2700
70,2200
70,2150
115,3245
90,2556
69,2130
77,3530
71,3190
71,1925
65,2020
65,1975
90,3003
70,2120
90,2678
90,3381
105,2800
88,2870
78,2188
67,2950
67,3250
88,2500
62,1845
48,2335
76,2144
48,2085
65,2110
132,2910
65,2019
92,2434
72,2290
67,1850
75,2542
65,2110
100,2420
67,2145
75,2265
60,1968
90,2711
110,3415
84,2635
110,2725
85,3465
92,2620
65,2380
65,2045
88,3060
105,3725
64,1875
63,2215
84,2490
84,2385
80,3230
74,2190
76,3160
100,2615
65,1975
120,2930
60,1760
75,2210
74,2635
68,1985
67,2065
75,2350
116,2900
58,1755
62,2050
110,2945
90,2950
88,2605
88,2395
88,2640
82,2720
92,2585
84,2525
84,2370
84,2295
92,2865
112,2835
86,2790
79,2625
70,2125
85,3015
63,2125
85,2575
90,2735
74,1980
52,2130
67,1995
75,2205
67,1965
67,1965
68,1970
68,2025
88,2160
96,2665
70,2245
